surname,customer_id,country,age,gender,balance,num_products,tenure,credit_card,active_member,credit_score,salary,churn
Hargrave,15634602,France,42,Female,0,1,2,1,1,619,101348.88,1
Hill,15647311,Spain,41,Female,83807.86,1,1,0,1,608,112542.58,0
Onio,15619304,France,42,Female,159660.8,3,8,1,0,502,113931.57,1
Boni,15701354,France,39,Female,0,2,1,0,0,699,93826.63,0
Mitchell,15737888,Spain,43,Female,125510.82,1,2,1,1,850,79084.1,0
Chu,15574012,Spain,44,Male,113755.78,2,8,1,0,645,149756.71,1
Bartlett,15592531,France,50,Male,0,2,7,1,1,822,10062.8,0
Obinna,15656148,Germany,29,Female,115046.74,4,4,1,0,376,119346.88,1
He,15792365,France,44,Male,142051.07,2,4,0,1,501,74940.5,0
H?,15592389,France,27,Male,134603.88,1,2,1,1,684,71725.73,0
Bearce,15767821,France,31,Male,102016.72,2,6,0,0,528,80181.12,0
Andrews,15737173,Spain,24,Male,0,2,3,1,0,497,76390.01,0
Kay,15632264,France,34,Female,0,2,10,1,0,476,26260.98,0
Chin,15691483,France,25,Female,0,2,5,0,0,549,190857.79,0
Scott,15600882,Spain,35,Female,0,2,7,1,1,635,65951.65,0
Goforth,15643966,Germany,45,Male,143129.41,2,3,0,1,616,64327.26,0
Romeo,15737452,Germany,58,Male,132602.88,1,1,1,0,653,5097.67,1
Henderson,15788218,Spain,24,Female,0,2,9,1,1,549,14406.41,0
Muldrow,15661507,Spain,45,Male,0,1,6,0,0,587,158684.81,0
Hao,15568982,France,24,Female,0,2,6,1,1,726,54724.03,0
McDonald,15577657,France,41,Male,0,2,8,1,1,732,170886.17,0
Dellucci,15597945,Spain,32,Female,0,2,8,1,0,636,138555.46,0
Gerasimov,15699309,Spain,38,Female,0,1,4,1,0,510,118913.53,1
Mosman,15725737,France,46,Male,0,2,3,0,1,669,8487.75,0
Yen,15625047,France,38,Female,0,1,5,1,1,846,187616.16,0
Maclean,15738191,France,25,Male,0,2,3,0,1,577,124508.29,0
Young,15736816,Germany,36,Male,136815.64,1,2,1,1,756,170041.95,0
Nebechi,15700772,France,44,Male,0,2,9,0,0,571,38433.35,0
McWilliams,15728693,Germany,43,Female,141349.43,1,3,1,1,574,100187.43,0
Lucciano,15656300,France,29,Male,59697.17,2,0,1,1,411,53483.21,0
Azikiwe,15589475,Spain,39,Female,0,3,3,1,0,591,140469.38,1
Odinakachukwu,15706552,France,36,Male,85311.7,1,7,0,1,533,156731.91,0
Sanderson,15750181,Germany,41,Male,110112.54,2,9,0,0,553,81898.81,0
Maggard,15659428,Spain,42,Female,0,2,6,1,1,520,34410.55,0
Clements,15732963,Spain,29,Female,0,2,9,1,1,722,142033.07,0
Lombardo,15794171,France,45,Female,134264.04,1,0,1,0,475,27822.99,1
Watson,15788448,Spain,31,Male,145260.23,1,3,0,1,490,114066.77,0
Lorenzo,15729599,Spain,33,Male,76548.6,1,7,0,1,804,98453.45,0
Armstrong,15717426,France,36,Male,0,1,7,1,1,850,40812.9,0
Cameron,15585768,Germany,41,Male,70349.48,2,6,0,1,582,178074.04,0
Hsiao,15619360,Spain,40,Male,0,1,4,1,0,472,70154.22,0
Clarke,15738148,France,51,Female,122522.32,1,8,0,0,465,181297.65,1
Osborne,15687946,France,61,Female,117419.35,1,2,1,1,556,94153.83,0
Lavine,15755196,France,49,Female,131394.56,1,2,0,0,834,194365.76,1
Bianchi,15684171,Spain,61,Female,155931.11,1,5,1,1,660,158338.39,0
Tyler,15754849,Germany,32,Female,109421.13,2,4,1,1,776,126517.46,0
Martin,15602280,Germany,27,Female,112045.67,1,9,1,1,829,119708.21,1
Okagbue,15771573,Germany,39,Female,137843.8,1,9,1,1,637,117622.8,1
Yin,15766205,Germany,38,Male,103391.38,1,2,0,1,550,90878.13,0
Buccho,15771873,Germany,37,Female,103769.22,2,2,1,0,776,194099.12,0
Chidiebele,15616550,Germany,44,Male,116363.37,2,10,1,0,698,198059.16,0
Trevisani,15768193,Germany,36,Male,146050.97,2,5,0,0,585,86424.57,0
O'Brien,15683553,France,33,Female,0,2,5,0,0,788,116978.19,0
Parkhill,15702298,Germany,41,Male,125561.97,1,8,0,0,655,164040.94,1
Yoo,15569590,Germany,42,Male,98495.72,1,1,1,0,601,40014.76,1
Phillipps,15760861,France,43,Male,125211.92,1,1,1,1,619,113410.49,0
Tsao,15630053,France,45,Male,127864.4,1,5,1,0,656,87107.57,0
Endrizzi,15647091,Germany,19,Male,75888.2,1,0,0,0,725,45613.75,0
T'ien,15623944,Spain,66,Female,0,1,4,1,0,511,1643.11,1
Velazquez,15804771,France,51,Male,40685.92,1,4,1,1,614,46775.28,0
Hunter,15651280,Germany,35,Male,136857,1,5,0,0,742,84509.57,0
Clark,15773469,Germany,27,Female,152328.88,2,9,0,0,687,126494.82,0
Jeffrey,15702014,Spain,33,Male,56084.69,2,1,0,0,555,178798.13,0
Pirozzi,15751208,Spain,56,Male,78707.16,1,8,1,1,684,99398.36,0
Jackson,15592461,Germany,26,Male,109166.37,1,4,1,1,603,92840.67,0
Hammond,15789484,Germany,36,Female,169831.46,2,6,1,1,751,27758.36,0
Brownless,15696061,Germany,34,Female,101633.04,1,1,1,0,581,110431.51,0
